sample_id,query,generated_code
201307251,Is it overcast?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    for man_patch in man_patches:
        hat_patches = man_patch.find(""hat"")
        # Question assumes only one hat patch
        if len(hat_patches) == 0:
            return ""no""
        return ""yes"""
201640614,Who is wearing the dress?,"# Is the man holding a book?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man holding a book?"")
    for man_patch in man_patches:
        if man_patch.verify_property(""man"", ""holding a book""):
            return ""yes""
    return ""no"""
202225914,Does the utensil on top of the table look clean and black?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    for man_patch in man_patches:
        hat_patches = image_patch.find(""hat"")
        for hat_patch in hat_patches:
            if hat_patch.horizontal_center > man_patch.horizontal_center:
                return ""yes""
    return ""no"""
2062325,Is the surfer that looks wet wearing a wetsuit?,"# Is the man holding a book?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man holding a book?"")
    man_patch = man_patches[0]
    book_patches = image_patch.find(""book"")
    # Question assumes only one book patch
    if len(book_patches) == 0:
        return ""no""
    for book_patch in book_patches:
        if book_patch.horizontal_center > man_patch.horizontal_center:
            return ""yes""
    return ""no"""
201303229,How tall is the chair in the bottom of the photo?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    return bool_to_yesno(man_patches[0].verify_property(""man"", ""hat""))"
201902997,What kind of device is on top of the desk?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    for man_patch in man_patches:
        if man_patch.verify_property(""man"", ""hat""):
            return ""yes""
    return ""no"""
20567512,What is the airplane flying above?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    man_patch = man_patches[0]
    hat_patches = image_patch.find(""hat"")
    # Question assumes only one hat patch
    if len(hat_patches) == 0:
        return ""no""
    for hat_patch in hat_patches:
        if hat_patch.horizontal_center > man_patch.horizontal_center:
            return ""yes""
    return ""no"""
20136592,What color are the pants?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    return man_patches[0].simple_query(""Is the man wearing a hat?"")"
20602803,Is the ground blue or brown?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    return bool_to_yesno(man_patches[0].verify_property(""man"", ""hat""))"
201079951,What is around the open window?,"# Is the man wearing a hat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man wearing a hat?"")
    return bool_to_yesno(man_patches[0].verify_property(""man"", ""hat""))"
